"row_id","account_label","account_id","pages_from_source","file","line","tag","label","current_release_status","blocker","current_release_actual_result","historical_observations"
"owner_a|src/App.vue:100:1","项目A负责人","103","[]","src/App.vue","100","AgentChatDrawer","","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1550:2","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1550","button","","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1563:3","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1563","section","管理副驾驶对话","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1583:4","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1583","button","移动管理副驾驶窗口","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1597:5","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1597","button","重试运行","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1605:6","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1605","AgentSessionSwitcher","","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1619:7","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1619","button","收起管理副驾驶","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1637:8","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1637","div","我是贾维斯,你的全局运维助手 直接告诉我你想做什么,或从下面挑一个试试 {{ question }} {{ entry.payload.content }} {{ entry.sensitiveResult.title }} {{ value }} {{ entry.sensitiveResult.notice }} {{ entry.payload.tit","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1648:9","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1648","button","{{ question }}","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1673:10","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1673","button","","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1714:11","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1714","button","复制全部一次性结果","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1757:12","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1757","button","重试","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1765:13","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1765","button","新建独立对话","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1780:14","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1780","button","{{ entry.payload.action_label || '立即处理' }}","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1801:15","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1801","button","{{ expandedTables.has(entry.id) ? '收起' : '展开全部' }}","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1811:16","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1811","ResponseApprovalCard","","untested","","","[]"
"owner_a|src/components/admin/AdminCopilot.vue:1818:17","项目A负责人","103","[]","src/components/admin/AdminCopilot.vue","1818","ResponseInputCard","","untested","","","[]"
