row_id,account_role,account_label,account_id,project_scope,pages_from_source,page_resolution,control_id,file,line,tag,is_button_or_link,label,dynamic_accessible_label,events,source_conditions,expected_behavior,required_environment,current_release_status,blocker,current_release_actual_result,current_release_evidence,historical_observations,scenarios_to_record,previous_acceptance_account_id,execution_prerequisite,previous_release_observations
owner_a|src/App.vue:100:1,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/App.vue:100:1,src/App.vue,100,AgentChatDrawer,False,,,"[{""event"": ""consumed-prefill"", ""handler"": ""agentPrefill = ''""}]","[""else-if: canUseAgent""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1550:2,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1550:2,src/components/admin/AdminCopilot.vue,1550,button,True,,`打开${ASSISTANT_NAME}`,"[{""event"": ""click"", ""handler"": ""openPanel""}]","[""if: !visible""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1563:3,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1563:3,src/components/admin/AdminCopilot.vue,1563,section,False,管理副驾驶对话,,"[{""event"": ""pointermove"", ""handler"": ""moveDrag""}, {""event"": ""pointerup"", ""handler"": ""endDrag""}, {""event"": ""pointercancel"", ""handler"": ""endDrag""}, {""event"": ""dragenter"", ""handler"": ""onDragEnter""}, {""event"": ""dragover"", ""handler"": ""onDragOver""}, {""event"": ""dragleave"", ""handler"": ""onDragLeave""}, {""event"": ""drop"", ""handler"": ""onDrop""}]","[""else: ""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1583:4,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1583:4,src/components/admin/AdminCopilot.vue,1583,button,True,移动管理副驾驶窗口,,"[{""event"": ""pointerdown"", ""handler"": ""beginDrag""}]","[""else: ""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1597:5,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1597:5,src/components/admin/AdminCopilot.vue,1597,button,True,重试运行,,"[{""event"": ""click"", ""handler"": ""retryRun()""}]","[""else: "", ""if: canRetryRun""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1605:6,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1605:6,src/components/admin/AdminCopilot.vue,1605,AgentSessionSwitcher,False,,,"[{""event"": ""select"", ""handler"": ""handleSessionSelect""}, {""event"": ""sessions-changed"", ""handler"": ""handleSwitcherReady""}, {""event"": ""archive"", ""handler"": ""handleSessionArchive""}]","[""else: ""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1619:7,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1619:7,src/components/admin/AdminCopilot.vue,1619,button,True,收起管理副驾驶,,"[{""event"": ""click"", ""handler"": ""closePanel""}]","[""else: ""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1637:8,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1637:8,src/components/admin/AdminCopilot.vue,1637,div,False,"我是贾维斯,你的全局运维助手 直接告诉我你想做什么,或从下面挑一个试试 {{ question }} {{ entry.payload.content }} {{ entry.sensitiveResult.title }} {{ value }} {{ entry.sensitiveResult.notice }} {{ entry.payload.tit",,"[{""event"": ""click"", ""handler"": ""onMessageClick""}]","[""else: ""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1648:9,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1648:9,src/components/admin/AdminCopilot.vue,1648,button,True,{{ question }},,"[{""event"": ""click"", ""handler"": ""askQuickQuestion(question)""}]","[""else: "", ""if: messages.length <= 1 && !showTyping"", ""for: question in QUICK_QUESTIONS""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
owner_a|src/components/admin/AdminCopilot.vue:1673:10,owner_a,项目A负责人,,待主代理新建20260908标记的隔离验收项目；实际项目ID与资源关系以真实返回为准,[],共享/动态组件，宿主尚未唯一解析,src/components/admin/AdminCopilot.vue:1673:10,src/components/admin/AdminCopilot.vue,1673,button,True,,copiedEntryId === entry.id ? '已复制' : '复制这条回复',"[{""event"": ""click"", ""handler"": ""copyMessage(entry)""}]","[""else: "", ""for: entry in messages"", ""if: entry.payload.type === 'text' && entry.payload.content && entry.role === 'assistant'""]",按账号真实RBAC、资源归属及当前业务状态验证允许/拒绝、可见/禁用；源码条件仅作定位线索,本轮最终源码经Git bundle发布后的生产HTTPS真实浏览器,untested,,,[],[],"[""账号与页面前置状态"", ""可见或隐藏/禁用"", ""实际点击或交互"", ""确认/取消/错误与重试（适用时）"", ""最终跳转或数据读回"", ""发布版本及证据""]",103,等待本轮最小权限专用账号及有效会话；旧QA103-106已停用，不复用或扩权,[]
